Afar (aa)
Abchasisch (ab)
Aceh-Sprache (ace)
Acholi-Sprache (ach)
Adangme (ada)
Adygeisch (ady)
Avestisch (ae)
Tunesisches Arabisch (aeb)
Afrikaans (af)
Afrihili (afh)
Aghem (agq)
Ainu-Sprache (ain)
Akan (ak)
Akkadisch (akk)
Alabama (akz)
Aleutisch (ale)
Gegisch (aln)
Süd-Altaisch (alt)
Amharisch (am)
Aragonesisch (an)
Altenglisch (ang)
Angika (anp)
Arabisch (ar)
Modernes Hocharabisch (ar_001)
Aramäisch (arc)
Araukanisch (arn)
Araona (aro)
Arapaho-Sprache (arp)
Algerisches Arabisch (arq)
Arawak-Sprache (arw)
Marokkanisches Arabisch (ary)
Ägyptisches Arabisch (arz)
Assamesisch (as)
Pare (asa)
Amerikanische Gebärdensprache (ase)
Asturianisch (ast)
Awarisch (av)
Kotava (avk)
Awadhi (awa)
Aymara (ay)
Aserbaidschanisch (az)
Südaserbaidschanisch (azb)
Baschkirisch (ba)
Belutschisch (bal)
Balinesisch (ban)
Bairisch (bar)
Basaa-Sprache (bas)
Bamun (bax)
Batak Toba (bbc)
Ghomala (bbj)
Weißrussisch (be)
Bedauye (bej)
Bemba-Sprache (bem)
Betawi (bew)
Bena (bez)
Bafut (bfd)
Badaga (bfq)
Bulgarisch (bg)
Bhodschpuri (bho)
Bislama (bi)
Bikol-Sprache (bik)
Bini-Sprache (bin)
Banjaresisch (bjn)
Kom (bkm)
Blackfoot-Sprache (bla)
Bambara-Sprache (bm)
Bengalisch (bn)
Tibetisch (bo)
Bishnupriya (bpy)
Bachtiarisch (bqi)
Bretonisch (br)
Braj-Bhakha (bra)
Brahui (brh)
Bodo (brx)
Bosnisch (bs)
Akoose (bss)
Burjatisch (bua)
Buginesisch (bug)
Bulu (bum)
Blin (byn)
Medumba (byv)
Katalanisch (ca)
Caddo (cad)
Karibisch (car)
Cayuga (cay)
Atsam (cch)
Tschetschenisch (ce)
Cebuano (ceb)
Rukiga (cgg)
Chamorro-Sprache (ch)
Chibcha-Sprache (chb)
Tschagataisch (chg)
Trukesisch (chk)
Tscheremissisch (chm)
Chinook (chn)
Choctaw (cho)
Chipewyan (chp)
Cherokee (chr)
Cheyenne (chy)
Sorani (ckb)
Korsisch (co)
Koptisch (cop)
Capiznon (cps)
Cree (cr)
Krimtatarisch (crh)
Tschechisch (cs)
Kaschubisch (csb)
Kirchenslawisch (cu)
Tschuwaschisch (cv)
Walisisch (cy)
Dänisch (da)
Dakota-Sprache (dak)
Darginisch (dar)
Taita (dav)
Deutsch (de)
Österreichisches Deutsch (de_AT)
Schweizer Hochdeutsch (de_CH)
Delaware-Sprache (del)
